number,symbol,name,atomic_mass,atomic_radii(pm),Protons,Electrons,Neutrons,Oxi. States,electron_configuration_semantic,phase,ionization_energies,electron_affinity,electronegativity_pauling,melt,boil,density,discovered_by
1,H,Hydrogen,1.008,53,1,1,0,"+1, -1",1s1,Gas,1312,72.769,2.2,13.99,20.271,0.08988,Henry Cavendish
2,He,Helium,4.0026022,31,2,2,2,0,1s2,Gas,2372.3,-48,,0.95,4.222,0.1786,Pierre Janssen
3,Li,Lithium,6.94,167,3,3,4,1,[He] 2s1,Solid,520.2,59.6326,0.98,453.65,1603,0.534,Johan August Arfwedson
4,Be,Beryllium,9.01218315,112,4,4,5,2,[He] 2s2,Solid,899.5,-48,1.57,1560,2742,1.85,Louis Nicolas Vauquelin
5,B,Boron,10.81,87,5,5,6,3,[He] 2s2 2p1,Solid,800.6,26.989,2.04,2349,4200,2.08,Joseph Louis Gay-Lussac
6,C,Carbon,12.011,67,6,6,6,"+4, +2, -4",[He] 2s2 2p2,Solid,1086.5,121.7763,2.55,,,1.821,Ancient Egypt
7,N,Nitrogen,14.007,56,7,7,7,"-3, +3, +5",[He] 2s2 2p3,Gas,1402.3,-6.8,3.04,63.15,77.355,1.251,Daniel Rutherford
8,O,Oxygen,15.999,48,8,8,8,"-2, -1 (in peroxides), +2 (in OF2)",[He] 2s2 2p4,Gas,1313.9,140.976,3.44,54.36,90.188,1.429,Carl Wilhelm Scheele
9,F,Fluorine,18.99840316,42,9,9,10,-1,[He] 2s2 2p5,Gas,1681,328.1649,3.98,53.48,85.03,1.696,André-Marie Ampère
10,Ne,Neon,20.17976,38,10,10,10,0,[He] 2s2 2p6,Gas,2080.7,-116,,24.56,27.104,0.9002,Morris Travers
11,Na,Sodium,22.98976928,190,11,11,12,1,[Ne] 3s1,Solid,495.8,52.867,0.93,370.944,1156.09,0.968,Humphry Davy
12,Mg,Magnesium,24.305,145,12,12,12,2,[Ne] 3s2,Solid,737.7,-40,1.31,923,1363,1.738,Joseph Black
13,Al,Aluminium,26.98153857,118,13,13,14,3,[Ne] 3s2 3p1,Solid,577.5,41.762,1.61,933.47,2743,2.7,
14,Si,Silicon,28.085,111,14,14,14,"+4, -4",[Ne] 3s2 3p2,Solid,786.5,134.0684,1.9,1687,3538,2.329,Jöns Jacob Berzelius
15,P,Phosphorus,30.973762,98,15,15,16,"-3, +3, +5",[Ne] 3s2 3p3,Solid,1011.8,72.037,2.19,,,1.823,Hennig Brand
16,S,Sulfur,32.06,88,16,16,16,"-2, +4, +6",[Ne] 3s2 3p4,Solid,999.6,200.4101,2.58,388.36,717.8,2.07,Ancient china
17,Cl,Chlorine,35.45,79,17,17,18,"-1, +1, +3, +5, +7",[Ne] 3s2 3p5,Gas,1251.2,348.575,3.16,171.6,239.11,3.2,Carl Wilhelm Scheele
18,Ar,Argon,39.9481,71,18,18,22,0,[Ne] 3s2 3p6,Gas,1520.6,-96,,83.81,87.302,1.784,Lord Rayleigh
19,K,Potassium,39.09831,243,19,19,20,1,[Ar] 4s1,Solid,418.8,48.383,0.82,336.7,1032,0.862,Humphry Davy
20,Ca,Calcium,40.0784,194,20,20,20,2,[Ar] 4s2,Solid,589.8,2.37,1,1115,1757,1.55,Humphry Davy
21,Sc,Scandium,44.9559085,184,21,21,24,3,[Ar] 3d1 4s2,Solid,633.1,18,1.36,1814,3109,2.985,Lars Fredrik Nilson
22,Ti,Titanium,47.8671,176,22,22,26,"+2, +3, +4",[Ar] 3d2 4s2,Solid,658.8,7.289,1.54,1941,3560,4.506,William Gregor
23,V,Vanadium,50.94151,171,23,23,28,"+2, +3, +4, +5",[Ar] 3d3 4s2,Solid,650.9,50.911,1.63,2183,3680,6,Andrés Manuel del Río
24,Cr,Chromium,51.99616,166,24,24,28,"+2, +3, +6",[Ar] 3d5 4s1,Solid,652.9,65.21,1.66,2180,2944,7.19,Louis Nicolas Vauquelin
25,Mn,Manganese,54.9380443,161,25,25,30,"+2, +4, +7",[Ar] 3d5 4s2,Solid,717.3,-50,1.55,1519,2334,7.21,Torbern Olof Bergman
26,Fe,Iron,55.8452,156,26,26,30,"+2, +3",[Ar] 3d6 4s2,Solid,762.5,14.785,1.83,1811,3134,7.874,5000 BC
27,Co,Cobalt,58.9331944,152,27,27,32,"+2, +3",[Ar] 3d7 4s2,Solid,760.4,63.898,1.88,1768,3200,8.9,Georg Brandt
28,Ni,Nickel,58.69344,149,28,28,31,"+2, +3",[Ar] 3d8 4s2,Solid,737.1,111.65,1.91,1728,3003,8.908,Axel Fredrik Cronstedt
29,Cu,Copper,63.5463,145,29,29,35,"+1, +2",[Ar] 3d10 4s1,Solid,745.5,119.235,1.9,1357.77,2835,8.96,Middle East
30,Zn,Zinc,65.382,142,30,30,35,2,[Ar] 3d10 4s2,Solid,906.4,-58,1.65,692.68,1180,7.14,India
31,Ga,Gallium,69.7231,136,31,31,39,3,[Ar] 3d10 4s2 4p1,Solid,578.8,41,1.81,302.9146,2673,5.91,Lecoq de Boisbaudran
32,Ge,Germanium,72.6308,125,32,32,41,"+2, +4",[Ar] 3d10 4s2 4p2,Solid,762,118.9352,2.01,1211.4,3106,5.323,Clemens Winkler
33,As,Arsenic,74.9215956,114,33,33,42,"-3, +3, +5",[Ar] 3d10 4s2 4p3,Solid,947,77.65,2.18,,,5.727,Bronze Age
34,Se,Selenium,78.9718,103,34,34,45,"-2, +4, +6",[Ar] 3d10 4s2 4p4,Solid,941,194.9587,2.55,494,958,4.81,Jöns Jakob Berzelius
35,Br,Bromine,79.904,94,35,35,45,"-1, +1, +3, +5, +7",[Ar] 3d10 4s2 4p5,Liquid,1139.9,324.537,2.96,265.8,332,3.1028,Antoine Jérôme Balard
36,Kr,Krypton,83.7982,88,36,36,48,"0, +2",[Ar] 3d10 4s2 4p6,Gas,1350.8,-96,3,115.78,119.93,3.749,William Ramsay
37,Rb,Rubidium,85.46783,265,37,37,48,1,[Kr] 5s1,Solid,403,46.884,0.82,312.45,961,1.532,Robert Bunsen
38,Sr,Strontium,87.621,219,38,38,50,2,[Kr] 5s2,Solid,549.5,5.023,0.95,1050,1650,2.64,William Cruickshank (chemist)
39,Y,Yttrium,88.905842,212,39,39,50,3,[Kr] 4d1 5s2,Solid,600,29.6,1.22,1799,3203,4.472,Johan Gadolin
40,Zr,Zirconium,91.2242,206,40,40,51,4,[Kr] 4d2 5s2,Solid,640.1,41.806,1.33,2128,4650,6.52,Martin Heinrich Klaproth
41,Nb,Niobium,92.906372,198,41,41,52,"+3, +5",[Kr] 4d4 5s1,Solid,652.1,88.516,1.6,2750,5017,8.57,Charles Hatchett
42,Mo,Molybdenum,95.951,190,42,42,54,"+4, +6",[Kr] 4d5 5s1,Solid,684.3,72.1,2.16,2896,4912,10.28,Carl Wilhelm Scheele
